INFO:Worker:Starting Worker
INFO:Worker:Starting Worker
INFO:root:episode     0 complete - reward(new:8448300, avg:67863829, best:397439100)
INFO:root:episode     0 complete - reward(new:139158400, avg:68576775, best:397439100)
INFO:root:episode     0 complete - reward(new:168284500, avg:69573852, best:397439100)
INFO:root:episode     0 complete - reward(new:79360100, avg:69671715, best:397439100)
INFO:root:episode     0 complete - reward(new:45730500, avg:69432302, best:397439100)
INFO:root:episode     0 complete - reward(new:97547100, avg:69713450, best:397439100)
INFO:root:episode     0 complete - reward(new:62331000, avg:69639626, best:397439100)
INFO:root:episode     0 complete - reward(new:107829100, avg:70021521, best:397439100)
INFO:root:episode     0 complete - reward(new:66186500, avg:69983170, best:397439100)
INFO:root:episode     0 complete - reward(new:11382800, avg:69397167, best:397439100)
INFO:root:episode     0 complete - reward(new:10497200, avg:68808167, best:397439100)
INFO:root:episode     0 complete - reward(new:69404900, avg:68814134, best:397439100)
INFO:root:episode     0 complete - reward(new:68583100, avg:68811824, best:397439100)
INFO:root:episode     0 complete - reward(new:84936100, avg:68973067, best:397439100)
INFO:root:episode     0 complete - reward(new:176664800, avg:70049984, best:397439100)
INFO:root:episode     0 complete - reward(new:124818200, avg:70597666, best:397439100)
INFO:root:episode     0 complete - reward(new:62477100, avg:70516461, best:397439100)
INFO:root:episode     0 complete - reward(new:202343100, avg:71834727, best:397439100)
INFO:root:episode     0 complete - reward(new:90143600, avg:72017816, best:397439100)
INFO:root:episode     0 complete - reward(new:62854100, avg:71926179, best:397439100)
INFO:root:episode     0 complete - reward(new:153372300, avg:72740640, best:397439100)
INFO:root:episode     0 complete - reward(new:15683300, avg:72170066, best:397439100)
INFO:root:episode     0 complete - reward(new:64893700, avg:72097303, best:397439100)
INFO:root:episode     0 complete - reward(new:189648900, avg:73272819, best:397439100)
INFO:root:episode     0 complete - reward(new:111615500, avg:73656246, best:397439100)
INFO:root:episode     0 complete - reward(new:141574800, avg:74335431, best:397439100)
INFO:root:episode     0 complete - reward(new:78076200, avg:74372839, best:397439100)
INFO:root:episode     0 complete - reward(new:192420500, avg:75553315, best:397439100)
INFO:root:episode     0 complete - reward(new:11082600, avg:74908608, best:397439100)
INFO:root:episode     0 complete - reward(new:101147000, avg:75170992, best:397439100)
INFO:root:episode     0 complete - reward(new:172183800, avg:76141120, best:397439100)
INFO:root:episode     0 complete - reward(new:101413200, avg:76393841, best:397439100)
INFO:root:episode     0 complete - reward(new:138906100, avg:77018964, best:397439100)
INFO:root:episode     0 complete - reward(new:31790100, avg:76566675, best:397439100)
INFO:root:episode     0 complete - reward(new:16540200, avg:75966410, best:397439100)
INFO:root:episode     0 complete - reward(new:121984700, avg:76426593, best:397439100)
INFO:root:episode     0 complete - reward(new:135745300, avg:77019780, best:397439100)
INFO:root:episode     0 complete - reward(new:78931300, avg:77038895, best:397439100)
INFO:root:episode     0 complete - reward(new:72644700, avg:76994953, best:397439100)
INFO:root:episode     0 complete - reward(new:109417000, avg:77319174, best:397439100)
INFO:root:episode     0 complete - reward(new:59994000, avg:77145922, best:397439100)
INFO:root:episode     0 complete - reward(new:10693700, avg:76481400, best:397439100)
INFO:root:episode     0 complete - reward(new:83779400, avg:76554380, best:397439100)
INFO:root:episode     0 complete - reward(new:138733200, avg:77176168, best:397439100)
INFO:root:episode     0 complete - reward(new:82384900, avg:77228255, best:397439100)
INFO:root:episode     0 complete - reward(new:556761300, avg:82023586, best:556761300)
INFO:root:episode     0 complete - reward(new:238353900, avg:83586889, best:556761300)
INFO:root:episode     0 complete - reward(new:269156800, avg:85442588, best:556761300)
INFO:root:episode     0 complete - reward(new:51752200, avg:85105684, best:556761300)
INFO:root:episode     0 complete - reward(new:43934300, avg:84693970, best:556761300)
INFO:root:episode     0 complete - reward(new:99679000, avg:84843821, best:556761300)
INFO:root:episode     0 complete - reward(new:57380400, avg:84569187, best:556761300)
INFO:root:episode     0 complete - reward(new:10001500, avg:83823510, best:556761300)
INFO:root:episode     0 complete - reward(new:84184100, avg:83827116, best:556761300)
INFO:root:episode     0 complete - reward(new:87510600, avg:83863950, best:556761300)
INFO:root:episode     0 complete - reward(new:108280200, avg:84108113, best:556761300)
INFO:root:episode     0 complete - reward(new:11495200, avg:83381984, best:556761300)
INFO:root:episode     0 complete - reward(new:10711600, avg:82655280, best:556761300)
INFO:root:episode     0 complete - reward(new:192205200, avg:83750779, best:556761300)
INFO:root:episode     0 complete - reward(new:3845300, avg:82951724, best:556761300)
INFO:root:episode     0 complete - reward(new:10569800, avg:82227905, best:556761300)
INFO:root:episode     0 complete - reward(new:11572500, avg:81521351, best:556761300)
INFO:root:episode     0 complete - reward(new:8141000, avg:80787548, best:556761300)
INFO:root:episode     0 complete - reward(new:86999000, avg:80849662, best:556761300)
INFO:root:episode     0 complete - reward(new:246370400, avg:82504869, best:556761300)
